Filename,Group,ExcerptType,Noise,ResponseId,1 The performer was highly skilled in delivering the spoken or sung text.,2 I really liked the way the excerpt was performed.,3 The performer conveyed a lot of passion in their performance.,4 The performer's expression was very sincere.,5 The performer conveyed emotions effectively (regardless of whether emotions were positive or negative).,6 The performer’s voice was very powerful.,7 I could clearly discern the words being spoken/sung.,8 I was familiar with the content of the audio clip before hearing it.,9 Is there more than one singer/speaker in the recording?,10 Are there sounds other than the speaker/singer in the recording?,11 The recording had unintelligible words due to recording quality.
1017435002_1401750336.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,5,5,5,5,5,5,5,5,1,1,1
1017435002_1401750336.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,2,2,4,2,2,4,4,4,1,1,1
1017435002_1401750336.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,5,5,3,3,3,2,2,5,1,3,5
1017435002_1401750336.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,2,2,2,3,2,2,3,4,1,1,1
1017435002_1401750336.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,5,5,3,4,2,5,3,5,1,3,1
1061524782_1232657880.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,2,2,4,4,4,2,4,5,1,5,1
1061524782_1232657880.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,2,2,4,4,4,4,4,5,1,1,1
1061524782_1232657880.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,3,2,3,3,3,2,4,5,1,5,1
1061524782_1232657880.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,5,2,2,3,3,2,3,4,1,1,1
1061524782_1232657880.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,5,5,2,3,2,5,5,5,1,5,1
1081-128618-0002.mp3,A,audiobook,0,R_3oAvslaMMk5Qyn2,3,3,3,3,3,2,5,5,1,1,1
1081-128618-0002.mp3,A,audiobook,0,R_3PSLUQE6u4VjB6P,3,3,2,2,2,2,5,5,1,1,1
1081-128618-0002.mp3,A,audiobook,0,R_5RjQVNLYJmL7KsV,5,5,2,3,2,3,5,5,1,1,1
1081-128618-0002.mp3,A,audiobook,0,R_7otXgZJ83HqrzaI,3,4,2,4,2,3,4,5,1,1,1
1081-128618-0002.mp3,A,audiobook,0,R_7rINuaBcpmy6PGF,2,5,5,3,2,3,5,5,1,1,1
1132541805_1596411738.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,5,5,5,5,5,5,5,5,1,5,1
1132541805_1596411738.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,2,2,2,2,2,2,4,4,1,1,1
1132541805_1596411738.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,2,2,3,3,3,5,5,5,1,3,3
1132541805_1596411738.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,2,2,2,3,3,2,3,4,1,1,1
1132541805_1596411738.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,5,5,5,3,5,5,5,5,1,3,1
1142514583_1191849127_lowdist.mp3,A,karaoke,lowdist.mp3,R_3oAvslaMMk5Qyn2,2,2,2,2,2,5,4,5,1,5,1
1142514583_1191849127_lowdist.mp3,A,karaoke,lowdist.mp3,R_3PSLUQE6u4VjB6P,5,5,3,4,4,3,4,4,1,1,1
1142514583_1191849127_lowdist.mp3,A,karaoke,lowdist.mp3,R_5RjQVNLYJmL7KsV,2,3,3,3,3,3,5,5,1,5,3
1142514583_1191849127_lowdist.mp3,A,karaoke,lowdist.mp3,R_7otXgZJ83HqrzaI,5,5,5,5,5,5,2,5,1,1,1
1142514583_1191849127_lowdist.mp3,A,karaoke,lowdist.mp3,R_7rINuaBcpmy6PGF,5,2,2,2,2,2,4,5,1,5,1
1187375575_1277222367.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,4,4,4,4,4,3,4,4,1,5,1
1187375575_1277222367.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,4,4,4,5,5,4,4,5,1,1,1
1187375575_1277222367.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,3,2,4,3,4,3,5,5,1,5,1
1187375575_1277222367.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,4,4,4,4,4,4,4,4,1,1,1
1187375575_1277222367.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,2,2,4,4,3,2,5,5,1,1,1
1187375575_1309033386.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,3,5,2,2,2,2,5,5,1,5,1
1187375575_1309033386.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,4,4,4,4,4,3,4,5,1,1,1
1187375575_1309033386.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,2,2,3,3,3,2,4,5,1,3,1
1187375575_1309033386.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,2,2,2,3,4,3,4,4,1,1,1
1187375575_1309033386.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,3,2,3,2,3,2,4,5,1,1,1
1191736047_1294050036.mp3,A,karaoke,0,R_3oAvslaMMk5Qyn2,2,2,3,3,3,2,5,5,1,5,1
1191736047_1294050036.mp3,A,karaoke,0,R_3PSLUQE6u4VjB6P,4,4,4,4,4,4,5,4,1,1,1
1191736047_1294050036.mp3,A,karaoke,0,R_5RjQVNLYJmL7KsV,3,3,3,3,3,3,4,5,1,1,1
1191736047_1294050036.mp3,A,karaoke,0,R_7otXgZJ83HqrzaI,3,3,4,4,3,3,4,4,1,1,1
1191736047_1294050036.mp3,A,karaoke,0,R_7rINuaBcpmy6PGF,3,4,3,4,3,3,4,5,1,5,1
1212461778_1368721246_highnoise.mp3,A,karaoke,highnoise.mp3,R_3oAvslaMMk5Qyn2,5,5,5,5,5,5,2,5,1,5,1
1212461778_1368721246_highnoise.mp3,A,karaoke,highnoise.mp3,R_3PSLUQE6u4VjB6P,2,2,4,4,4,2,2,4,1,5,5
1212461778_1368721246_highnoise.mp3,A,karaoke,highnoise.mp3,R_5RjQVNLYJmL7KsV,5,5,3,3,3,2,5,5,1,5,5
