Filename,1 The performer was highly skilled in delivering the spoken or sung text.,2 I really liked the way the excerpt was performed.,3 The performer conveyed a lot of passion in their performance.,4 The performer's expression was very sincere.,5 The performer conveyed emotions effectively (regardless of whether emotions were positive or negative).,6 The performer’s voice was very powerful.,7 I could clearly discern the words being spoken/sung.,8 I was familiar with the content of the audio clip before hearing it.,9 Is there more than one singer/speaker in the recording?,10 Are there sounds other than the speaker/singer in the recording?,11 The recording had unintelligible words due to recording quality.,1SD The performer was highly skilled in delivering the spoken or sung text.,2SD I really liked the way the excerpt was performed.,3SD The performer conveyed a lot of passion in their performance.,4SD The performer's expression was very sincere.,5SD The performer conveyed emotions effectively (regardless of whether emotions were positive or negative).,6SD The performer’s voice was very powerful.,7SD I could clearly discern the words being spoken/sung.,8SD I was familiar with the content of the audio clip before hearing it.,9SD Is there more than one singer/speaker in the recording?,10SD Are there sounds other than the speaker/singer in the recording?,11SD The recording had unintelligible words due to recording quality.,ExcerptType,NoiseType
1005999639_1594908929.mp3,3.5,3.25,3.5,3.75,3.25,3,4.5,4,1,1.5,1,0.577350269,1.258305739,0.577350269,0.5,0.957427108,0.816496581,0.577350269,0.816496581,0,1,0,karaoke,clean
1006486100_999951125_highdist.mp3,3.25,3.25,3.25,2,3,3.75,3,4.25,1,4,2.5,2.061552813,2.061552813,0.957427108,0.816496581,0.816496581,1.892969449,1.154700538,0.5,0,2,1.914854216,karaoke,noisy
1010760379_1188985065.mp3,3.25,4,3.25,3.5,3.25,4,4.25,4.25,1,2,1,2.061552813,2,1.5,1.290994449,1.5,1.414213562,0.957427108,1.5,0,2,0,karaoke,clean
1010760379_1244352507.mp3,3.5,4.5,4,4.25,4.25,2.75,4.25,4,1,1,1,1.732050808,1,1.414213562,0.957427108,0.957427108,1.5,0.5,1.414213562,0,0,0,karaoke,clean
1011993547_1219954494.mp3,3.75,3.5,4.75,4.75,4,4.75,4,4.25,1,1.5,1,1.5,1.290994449,0.5,0.5,1.154700538,0.5,0,0.957427108,0,1,0,karaoke,clean
1011993547_1219966982.mp3,3.25,3.75,3,3.25,3.25,3.5,4,3.25,1,1,2.5,1.5,1.892969449,0.816496581,1.5,1.5,1.290994449,0.816496581,2.061552813,0,0,1.914854216,karaoke,clean
1011993547_1306225745.mp3,3,2.75,3.5,3.5,3.75,2.75,3,4,1,1,2,1.414213562,1.5,1.290994449,1.290994449,1.5,0.957427108,1.154700538,1.414213562,0,0,2,karaoke,clean
1014728021_943621743_lowdist.mp3,2.75,2.5,2.75,3.5,3.5,2.75,3.5,4.25,1,1.5,1.5,0.5,0.577350269,0.5,0.577350269,0.577350269,0.5,1.290994449,1.5,0,1,1,karaoke,noisy
1017435002_1401750336.mp3,3.8,3.8,3.4,3.4,2.8,3.6,3.4,4.6,1,1.8,1.8,1.643167673,1.643167673,1.140175425,1.140175425,1.303840481,1.516575089,1.140175425,0.547722558,0,1.095445115,1.788854382,karaoke,clean
1018619369_959627331.mp3,3.25,3.5,3.25,3.75,3.25,2.75,3,4,1,3.5,1.5,1.5,1.290994449,1.258305739,1.5,1.5,1.5,1.154700538,1.414213562,0,1.914854216,1,karaoke,clean
